AIDS 後天性免疫不全症候群
Aachen アーヘン
Aalborg オールボー
Aar アーレ川
Aardvark ツチブタ
Aarhus オーフス
Aaron アロン
Abacus そろばん
Abadan アーバーダーン
Abbot 修道院長
Abbreviation 略語
Abdomen 腹
Aberdeen アバディーン
Abidjan アビジャン
Abkhazia アブハジア
Abolitionism 奴隷制度廃止運動
Abortion 人工妊娠中絶
Abraham アブラハム
Absinthe アブサン
Abstraction 抽象化
Abuja アブジャ
Acacia アカシア
Acapulco アカプルコ
Acceleration 加速度
Accipitridae タカ科 (Sibley)
Accordion アコーディオン
Accountancy 会計
Accra アクラ
Acetaldehyde アセトアルデヒド
Acetone アセトン
Acetylcholine アセチルコリン
Acetylene アセチレン
Acheron アケロン川
Achilles アキレウス
Acid 酸
Aconcagua アコンカグア
Acorn ドングリ
Acoustics 音響学
Acre アッコ
Acropolis アクロポリス
Actinide アクチノイド
Actinium アクチニウム
Actor 俳優
Acupuncture 鍼
Adam アダム
Adana アダナ
Adansonia バオバブ
Addiction 依存症
Addition 加法
Adelaide アデレード
Aden アデン
Adenine アデニン
Adige アディジェ川
Adjective 形容詞
Admiral 海軍大将
Adolescence 青年期
Adonis アドーニス
Adoption 養子縁組
Adsorption 吸着
Adult 大人
Advent アドベント
Adverb 副詞
Advertising 広告
Aeneas アエネアス
Aeneid アエネイス
Aeolus アイオロス
Aerodynamics 空気力学
Aerosol 浮遊粉塵
Aeschylus アイスキュロス
Aesop アイソーポス
Aesthetics 美学
Affix 接辞
Afghanistan アフガニスタン
Africa アフリカ
Afrikaans アフリカーンス語
Agamemnon アガメムノーン
Agar 寒天
Agate メノウ
Aggression 攻撃行動
Agnatha 無顎類
Agnosticism 不可知論
Agora アゴラ
Agoraphobia 広場恐怖症
Agra アーグラ
Agriculture 農業
Agrigento アグリジェント
Aikido 合気道
Ain アン県
Airbus エアバス
Aircraft 航空機
Airline 航空会社
Airport 空港
Ajax アイアース
Al-Qaeda アルカーイダ
Alabama アラバマ州
Alanine アラニン
Alaska アラスカ州
Albania アルバニア
Albatross アホウドリ亜科 (Sibley)
Albedo アルベド
Alberta アルバータ州
Albinism アルビノ
Albite 曹長石
Album アルバム
Albuquerque アルバカーキ
Alchemy 錬金術
Alcohol アルコール
Alcoholism アルコール依存症
Aldebaran アルデバラン
Aldehyde アルデヒド
Alder ハンノキ
Aleppo アレッポ
Alexander アレクサンダー
Alexandria アレクサンドリア
Algae 藻類
Algebra 代数学
Algeria アルジェリア
Algiers アルジェ
Algorithm アルゴリズム
Alhambra アルハンブラ宮殿
Alkaloid アルカロイド
Alkane アルカン
Alkene アルケン
Alkyne アルキン
Allah アッラーフ
Allegory アレゴリー
Allele 対立遺伝子
Allergy アレルギー
Alliteration 頭韻法
Allophone 異音
Allosaurus アロサウルス
Allotropy 同素体
Alloy 合金
Almanac 生活暦
Almaty アルマトイ
Almond アーモンド
Aloe アロエ
Alphabet アルファベット
Alps アルプス山脈
Alsace アルザス地域圏
Altair アルタイル
Altar 祭壇
Altruism 奉仕
Aluminium アルミニウム
Amaryllidaceae ヒガンバナ科
Amaterasu 天照大神
Ambassador 大使
Amber コハク
Ambrose アンブロジウス
Americium アメリシウム
Amethyst アメシスト
Amharic アムハラ語
Amide アミド
Amine アミン
Amish アーミッシュ
Amman アンマン
Ammeter 電流計
Ammonia アンモニア
Amnesia 健忘
Amnesty 恩赦
Ampere アンペア
Amphetamine アンフェタミン
Amphibian 両生類
Amphitheatre アンフィテアトルム
Amphora アンフォラ
Amplitude 振幅
Amsterdam アムステルダム
Amun アメン
Amur アムール川
Anabaptist アナバプテスト
Anagram アナグラム
Anaheim アナハイム
Anarchism アナキズム
Anatidae カモ科 (Sibley)
Anatomy 解剖学
Anaxagoras アナクサゴラス
Anaximander アナクシマンドロス
Anchor 錨
Anchorage アンカレッジ
Andalusia アンダルシア州
Andes アンデス山脈
Andorra アンドラ
Android 人造人間
Anemia 貧血
Anemometer 風速計
Anesthesia 麻酔
Angel 天使
Angle 角度
Anglicanism 聖公会
Angola アンゴラ
Anguilla アンギラ
Aniline アニリン
Animal 動物
Animation アニメーション
Anime アニメ
Animism アニミズム
Anise アニス
Ankara アンカラ
Annapurna アンナプルナ
Annelid 環形動物
Annunciation 受胎告知
Anode アノード
Anseriformes カモ目
Ant アリ
Antakya アンタキヤ
Antalya アンタルヤ
Antananarivo アンタナナリボ
Antarctica 南極大陸
Antares アンタレス
Anthrax 炭疽症
Anthropology 人類学
Anthroposophy アントロポゾフィー
Antibiotic 抗生物質
Antibody 抗体
Antichrist 反キリスト
Antigen 抗原
Antigone アンティゴネー
Antimatter 反物質
Antimony アンチモン
Antioxidant 酸化防止剤
Antipope 対立教皇
Antisemitism 反ユダヤ主義
Antlia ポンプ座
Antofagasta アントファガスタ
Antonym 対義語
Antwerp アントウェルペン
Anubis アヌビス
Anus 肛門
Aorta 大動脈
Apache アパッチ族
Apatite 燐灰石
Ape ヒト上科
Aphasia 失語症
Aphorism 格言
Aphrodite アプロディーテー
Apia アピア
Apiaceae セリ科
Apocrypha 外典
Apodiformes アマツバメ目
Apollo アポローン
Apoptosis アポトーシス
Appendicitis 虫垂炎
Apple リンゴ
Apricot アンズ
April 4月
Apse アプス
Apulia プッリャ州
Apus ふうちょう座
Aqaba アカバ
Aquamarine アクアマリン
Aquarium 水族館
Aqueduct 用水路
Aquitaine アキテーヌ地域圏
Arab アラブ人
Araceae サトイモ科
Arachnid クモ綱
Aragon アラゴン州
Arcadia アルカディア
Arch アーチ
Archaeology 考古学
Archaeopteryx 始祖鳥
Archangel 大天使
Archbishop 大主教
Archean 始生代
Archetype 元型
Archimedes アルキメデス
Archipelago 列島
Architect 建築家
Architecture 建築
Archive 公文書館
Archosaur 主竜類
Arctic 北極
Ardennes アルデンヌ
Are アール
Area 面積
Arecaceae ヤシ
Ares アレース
Argentina アルゼンチン
Argon アルゴン
Aria アリア
Ariadne アリアドネー
Arianism アリウス派
Aristocracy 貴族制
Aristophanes アリストパネス
Aristotle アリストテレス
Arithmetic 算術
Arizona アリゾナ州
Arkansas アーカンソー州
Arles アルル
Armadillo アルマジロ
Armenia アルメニア
Armour 鎧
Army 陸軍
Arnhem アーネム
Arquebus 火縄銃
Arras アラス
Arrow 矢
Arsenic ヒ素
Art 芸術
Artemis アルテミス
Artery 動脈
Arthritis 関節炎
Arthropod 節足動物
Artillery 大砲
Artist 美術家
Aruba アルバ
Asbestos 石綿
Asclepius アスクレーピオス
Asexuality 非性愛
Asgard アースガルズ
Ashurbanipal アッシュールバニパル
Asia アジア
Asmara アスマラ
Aspartame アスパルテーム
Asphalt アスファルト
Aspirin アスピリン
Assam アッサム州
Assassination 暗殺
Assyria アッシリア
Astana アスタナ
Astatine アスタチン
Asteraceae キク科
Asteroid 小惑星
Asthenosphere アセノスフェア
Asthma 気管支喘息
Astrakhan アストラハン
Astrobiology 宇宙生物学
Astrolabe アストロラーベ
Astrology 占星術
Astrometry 位置天文学
Astronaut 宇宙飛行士
Astronomer 天文学者
Astronomy Portal: 天文学
Astrophysics 天体物理学
Aswan アスワン
Asymptote 漸近線
Aten アテン
Athena アテーナー
Athens アテネ
Atlanta アトランタ
Atlantis アトランティス
Atmosphere 大気圏
Atoll 環礁
Atom 原子
Atropine アトロピン
Attica アッティカ
Auction 競売
August 8月
Augustus アウグストゥス
Austin オースティン
Australasia オーストララシア
Australia オーストラリア
Australopithecus アウストラロピテクス属
Austria オーストリア
Author 作家
Authority 権威
Autism 自閉症
Autobiography 自伝
Automobile 自動車
Autotroph 独立栄養生物
Autumn 秋
Avalanche 雪崩
Avant-garde アバンギャルド
Avatar アヴァターラ
Avena カラスムギ属
Avesta アヴェスター
Aviation 航空
Avignon アヴィニョン
Avocado アボカド
Axe 斧
Axiom 公理
Axon 神経繊維
Ayatollah アーヤトッラー
Azerbaijan アゼルバイジャン
Azimuth 方位角
Azores アゾレス諸島
Aztec アステカ
Azurite 藍銅鉱
Baal バアル
Baboon ヒヒ
Babylon バビロン
Babylonia バビロニア
Backgammon バックギャモン
Bacteria 真正細菌
Bacteriophage ファージ
Badminton バドミントン
Baghdad バグダード
Bahrain バーレーン
Baklava バクラヴァ
Baku バクー
Balalaika バラライカ
Baldr バルドル
Bali バリ島
Balkans バルカン半島
Ball ボール
Ballet バレエ
Baltimore ボルチモア
Bamako バマコ
Bamboo 竹
Banana バナナ
Bangalore バンガロール
Bangkok バンコク
Bangladesh バングラデシュ
Bangui バンギ
Banjul バンジュール
Bank 銀行
Banknote 紙幣
Baptism 洗礼
Baptist バプテスト教会
Barbados バルバドス
Barbarian 野蛮
Barcelona バルセロナ
Bari バーリ
Barium バリウム
Barley オオムギ
